method,surface,log_range,parameter,relative_error_pct,abs_relative_error_pct,convergence_failure
"5D L-BFGS-B (analytical grad)",symmetric,0.300000,E,1.1929720590742175e-06,1.1929720590742175e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,0.300000,A,8.47003738613239e-06,8.47003738613239e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,0.300000,B,8.471322331615738e-06,8.471322331615738e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,0.300000,alpha,1.6026667448351594e-06,1.6026667448351594e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,0.300000,beta,1.582815688552517e-06,1.582815688552517e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,0.389474,E,-1.8080507505381446e-07,1.8080507505381446e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,0.389474,A,-1.3913777934249083e-06,1.3913777934249083e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,0.389474,B,-1.3913781913288403e-06,1.3913781913288403e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,0.389474,alpha,1.0331653095776009e-07,1.0331653095776009e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,0.389474,beta,-6.154842048209088e-07,6.154842048209088e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,0.478947,E,2.2389648320757412e-07,2.2389648320757412e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,0.478947,A,1.465650356635706e-06,1.465650356635706e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,0.478947,B,1.4620268444787143e-06,1.4620268444787143e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,0.478947,alpha,2.6830022075009473e-07,2.6830022075009473e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,0.478947,beta,2.7468162153423334e-07,2.7468162153423334e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,0.568421,E,-1.0270631419633142e-06,1.0270631419633142e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,0.568421,A,-8.399814561244057e-06,8.399814561244057e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,0.568421,B,-8.65837989749707e-06,8.65837989749707e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,0.568421,alpha,-1.7063515833279274e-06,1.7063515833279274e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,0.568421,beta,-1.5026625821781914e-06,1.5026625821781914e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,0.657895,E,-6.460116465436289e-07,6.460116465436289e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,0.657895,A,-4.81023876375275e-06,4.81023876375275e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,0.657895,B,-4.810238777963605e-06,4.810238777963605e-06,False
